Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Spawn_Radius_M
1,0.0,1.1886,-0.1168,False,False,2.0626,-1.5658,2.1339,-1.7968,-1.6362,-0.0271,0.3152,-0.0633,0.7267,2.3313,-0.2424,-0.2979,-0.0,-0.2675,0.8052,0.8491,0.802,-0.26,0.01,0.0597,-0.0579,-0.01,-0.0548,-0.0758,-0.0577,-2.9548,0.0
101,0.0,1.011,0.0,False,False,3.7825,0.2494,3.0606,-3.8584,-3.1325,3.8619,0.0017,-0.0004,-0.0028,-0.016,-0.0004,-0.0303,0.1838,-0.158,0.6063,0.8114,0.802,-0.26,0.01,-0.0114,-0.0321,0.0221,0.0051,0.0007,-0.0756,-1.0257,0.0
201,0.0,1.0155,0.0,False,False,3.7848,0.2494,3.0589,-3.8676,-3.1341,3.8475,-0.0039,0.0002,0.0051,0.0298,0.0032,0.051,0.3273,-0.1646,0.6005,0.8091,0.802,-0.26,0.01,0.0315,0.0126,-0.0457,0.0522,-0.0511,-0.0171,0.138,0.0
301,0.0,1.0102,0.0,False,False,3.7812,0.2494,3.0576,-3.8744,-3.1353,3.8382,-0.0026,0.0001,-0.0008,0.0036,0.0031,0.01,0.1576,-0.1572,0.6063,0.8123,0.802,-0.26,0.01,0.0388,-0.0101,0.0169,-0.0407,0.0447,-0.0306,-1.3334,0.0
401,0.0,1.0148,0.0,False,False,3.7815,0.2494,3.0572,-3.8766,-3.1358,3.8361,-0.0006,0.0,-0.0019,0.0026,0.0024,-0.0043,0.2845,-0.1636,0.6018,0.81,0.802,-0.26,0.01,0.0623,-0.0046,0.0391,0.0668,0.0626,0.0097,1.1407,0.0
501,0.0,1.1987,-0.2325,False,False,2.0668,-1.5192,2.153,-1.8907,-1.6189,0.0365,0.3805,-0.0044,1.0228,-3.1509,-0.6157,0.7677,-0.0627,-0.2767,0.8112,0.8297,0.802,-0.26,0.01,0.0635,0.0353,0.0753,0.022,-0.0162,0.0697,-3.0783,0.0
601,0.0,1.0235,0.0014,False,False,3.1903,0.2495,2.8455,-4.6626,-3.1273,0.4741,0.0003,-0.0001,-0.0005,-0.0064,0.005,-0.0062,0.1873,-0.1407,0.6873,0.8222,0.802,-0.26,0.01,-0.0094,0.0272,0.0692,-0.0453,-0.0325,-0.0036,1.1733,0.0
701,0.0,1.0007,0.0052,False,False,3.3486,0.2495,2.8455,-4.6631,-3.1297,0.2986,-0.0,-0.0001,-0.0004,0.0009,-0.0004,0.0105,0.2667,-0.1252,0.6659,0.8093,0.802,-0.26,0.01,-0.0027,-0.0299,-0.0278,-0.031,0.0004,-0.0638,1.1082,0.0
801,0.0,0.9989,0.0,False,False,3.4843,0.2495,2.8455,-4.6629,-3.1288,0.1629,-0.2188,0.0005,-0.001,0.0037,0.0056,-0.3155,0.3897,-0.1297,0.6498,0.8105,0.802,-0.26,0.01,-0.0429,-0.0588,0.0285,-0.0142,0.0337,-0.0234,2.0395,0.0
901,0.0,1.0067,0.0003,False,False,3.6921,0.2495,2.8455,-4.6626,-3.1272,-0.0552,0.0092,0.0012,-0.0039,-0.0106,-0.0018,0.0133,0.3756,-0.1484,0.621,0.8168,0.802,-0.26,0.01,-0.0463,-0.0044,-0.0603,-0.0643,-0.0707,-0.0382,2.9048,0.0
1001,0.0,1.1858,-0.1427,False,False,2.0688,-1.5573,2.1454,-1.7918,-1.5957,0.0023,0.4075,0.0377,0.9145,2.6207,0.3174,-0.0749,0.0008,-0.273,0.7879,0.8426,0.802,-0.26,0.01,0.0783,-0.0402,0.0377,0.0577,0.0284,-0.0096,-0.8595,0.0
1101,0.0,1.0186,0.0023,False,False,3.6075,0.2489,3.0167,-4.0946,-3.1249,3.5898,-0.0006,0.0,-0.0042,0.0043,-0.005,-0.004,0.1698,-0.1597,0.6249,0.8108,0.802,-0.26,0.01,0.0601,-0.0102,0.0468,-0.0103,0.0632,-0.008,-2.7991,0.0
1201,0.0,1.0301,0.0,False,False,3.637,0.2487,2.978,-4.2414,-3.131,3.391,-0.0,-0.0,-0.1699,-0.5701,-0.0368,-0.8442,0.252,-0.1754,0.6147,0.8101,0.802,-0.26,0.01,-0.0457,-0.0657,-0.075,-0.0793,0.0034,-0.0092,-1.102,0.0
1301,0.0,1.0306,0.0,False,False,3.8822,0.2495,2.8455,-4.6626,-3.1274,2.7832,0.2162,0.0,-0.0006,0.0099,0.0014,-0.1157,0.088,-0.1877,0.5765,0.8147,0.802,-0.26,0.01,0.071,0.0195,0.0466,0.0759,-0.0399,-0.0609,-2.4333,0.0
1401,0.0,1.0125,0.0,False,False,4.1851,0.2495,2.8455,-4.6638,-3.1275,2.8468,-0.1015,0.0023,-0.0047,0.0745,-0.0975,-0.0398,0.1525,-0.1873,0.5047,0.8111,0.802,-0.26,0.01,-0.069,0.0461,0.0638,-0.0269,-0.0429,-0.0455,-2.5409,0.0
1501,0.0,1.1847,-0.1105,False,False,2.0608,-1.5473,2.1489,-1.8415,-1.6217,0.0331,0.2651,0.1422,0.929,2.1598,-0.0734,0.2303,0.0929,-0.2668,0.7986,0.8405,0.802,-0.26,0.01,0.0555,-0.0214,0.0398,-0.0533,-0.0526,0.0466,1.0663,0.0
1601,0.0,0.9989,0.0,False,False,4.1728,0.2496,3.0708,-3.7959,-3.1156,4.1748,0.0008,0.0011,0.002,0.0178,-0.0057,0.0545,0.185,-0.1622,0.5499,0.8143,0.802,-0.26,0.01,-0.0114,-0.0586,0.0666,-0.0619,0.0596,0.0236,-2.305,0.0
1701,0.0,1.0016,0.0,False,False,4.2397,0.2491,3.0377,-3.9919,-3.1296,3.7132,0.0018,0.0002,-0.0048,-0.0278,0.0048,-0.0564,0.3304,-0.1744,0.5126,0.8083,0.802,-0.26,0.01,-0.0074,0.0321,0.0385,0.0097,-0.071,0.0083,0.6361,0.0
1801,0.0,1.0014,0.0,False,False,4.2417,0.2491,3.0367,-3.9976,-3.1292,3.7111,0.001,0.0009,-0.0033,-0.0167,0.0005,-0.0647,0.322,-0.1743,0.5123,0.8085,0.802,-0.26,0.01,-0.0485,0.0038,0.0269,0.0498,0.0473,-0.0222,-1.4341,0.0
1901,0.0,0.9978,0.0,False,False,4.2597,0.2492,3.0443,-3.9626,-3.1234,3.8948,0.0,0.0014,0.0701,0.4691,-0.0463,1.5135,0.1611,-0.1682,0.522,0.8133,0.802,-0.26,0.01,0.0007,0.0563,0.0765,0.0634,-0.0725,-0.0443,-2.5385,0.0
2001,0.0,1.1892,-0.125,False,False,2.0657,-1.5629,2.1643,-1.8615,-1.6285,0.0417,0.351,-0.0112,1.0468,2.1666,-0.0894,0.3001,0.0,-0.2692,0.8041,0.8398,0.802,-0.26,0.01,0.0688,-0.048,0.0677,-0.0733,-0.0506,0.0572,-2.7259,0.0
2101,0.0,0.9544,0.0,False,False,3.7123,0.25,3.0946,-3.543,-3.0756,1.1647,-0.4074,0.0009,0.0017,0.0416,0.0338,0.0855,0.3166,-0.0761,0.6626,0.8208,0.802,-0.26,0.01,-0.0768,-0.0563,-0.0252,-0.0698,0.0719,-0.0538,0.5984,0.0
2201,0.0,0.9604,0.0067,False,False,3.7473,0.25,3.0949,-3.5226,-3.0832,1.1742,-0.0085,-0.0001,-0.0002,0.0104,-0.0101,0.0136,0.2901,-0.0837,0.6599,0.8208,0.802,-0.26,0.01,0.0672,0.0201,-0.0153,-0.0045,0.0646,-0.0059,2.0982,0.0
2301,0.0,0.9738,-0.0001,False,False,3.9118,0.25,3.0914,-3.5985,-3.0927,1.0643,0.0022,0.001,-0.0007,-0.0021,-0.0039,-0.0205,0.3511,-0.106,0.6405,0.8222,0.802,-0.26,0.01,-0.0224,-0.0368,0.0785,0.009,0.0753,0.0071,3.0302,0.0
2401,0.0,0.9789,0.0,False,False,3.9745,0.2499,3.0895,-3.627,-3.0993,1.0029,0.0015,-0.0,-0.001,-0.0114,0.021,0.0281,0.2918,-0.1165,0.6271,0.8223,0.802,-0.26,0.01,-0.0291,0.0621,0.0456,0.076,-0.0323,-0.0505,0.4594,0.0
2501,0.0,1.1893,-0.1211,False,False,2.0658,-1.5676,2.1493,-1.8283,-1.6344,0.0298,0.3575,-0.0723,0.8775,2.2619,-0.1619,0.1943,0.0098,-0.2683,0.8058,0.844,0.802,-0.26,0.01,0.0681,-0.0591,0.027,-0.0685,-0.0629,0.0365,-0.5863,0.0
2601,0.0,0.9983,0.0,False,False,3.7536,0.2493,3.0522,-3.9018,-3.1361,0.5095,-0.0012,0.0004,0.004,0.0393,0.0031,0.0644,0.3395,-0.1346,0.6336,0.8256,0.802,-0.26,0.01,0.0092,0.0672,-0.0719,0.0264,0.0393,0.0343,-0.7517,0.0
